locode,locode_alias,name,name_alias,wni_country_code,wni_area_code,latitude,longitude,timezone,has_berth,has_port_forecast
AEAUH,AEKHL,ABU DHABI,MINA KHALIFA,AE,ABU,24.5271,54.3529,Asia/Dubai,Yes,Yes
AEDUB,,DUBAI,,AE,DUB,25.27,55.273,Asia/Dubai,Yes,Yes
AEDXB,,DAS ISLAND,,,,25.1305,52.889,Asia/Dubai,No,No
AEFAT,,FATEH TERMINAL,,,,25.5833,54.4167,Asia/Dubai,No,No
AEFJR,,FUJAIRAH,AL FUJAIRAH,,,25.1791,56.3661,Asia/Dubai,Yes,No
AEHTL,,HULAYLAH TERMINAL,,,,25.9739,55.9364,Asia/Dubai,No,No
AEHZP,AEHAM,HAMRIYA,AL HAMRIYA,,,25.4792,55.485,Asia/Dubai,No,No
AEJEA,,JEBEL ALI,,AE,JBA,25.0269,55.0397,Asia/Dubai,Yes,Yes
AEJED,,JEBEL DHANA,,,,24.2168,52.587,Asia/Dubai,No,No
AEKLF,,KHOR AL FAKKAN,,,,25.3613,56.3663,Asia/Dubai,Yes,No
AEMBS,,MUBARRAS TERMIANAL,,,,24.4333,53.5167,Asia/Dubai,No,No
AEMSA,,MINA SAQR,,,,25.977,56.0499,Asia/Dubai,No,No
AEMUB,,MUBAREK TERMINAL,,,,25.8169,55.1838,Asia/Dubai,No,No
AERWP,,RUWAIS,,,,24.1526,52.7499,Asia/Dubai,No,No
AESHJ,,SHARJAH,,AE,SHJ,25.3746,55.3793,Asia/Dubai,Yes,Yes
AEZUR,,ZIRKU,ZIRKU ISLAND,,,24.8685,53.1012,Asia/Dubai,No,No
AGSJO,,ST JOHN'S,,,,17.1228,-61.8542,America/Antigua,No,No
ALDRZ,,DURRES,,,,41.3077,19.4555,Europe/Athens,No,No
AOCAB,,CABINDA,,AO,CBN,-5.5434,12.1788,Africa/Luanda,Yes,Yes
AODAL,,DALIA TERMINAL,,,,-7.6833,11.7667,Africa/Luanda,No,No
AOGIR,,GIRASSOL TERMINAL,,,,-7.6331,11.6831,Africa/Luanda,No,No
